page,illo,c1,c2,c3,c4,details,death,bad,ok,good,win,,,,,,,,,,,,,,
151.0,,114.0,62.0,,,,,,,,,,,,,,,,,,,,,,
152.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,
153.0,,155.0,,,,,,,,,,,,,,,,,,,,,,,
154.0,s,,,,,,,,,,,,,,,,,,,,,,,,
155.0,s,156.0,,,,,,,,,,,,,,,,,,,,,,,
156.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,
157.0,,,,,,0,,,,,,,,,,,,,,,,,,,
158.0,,26.0,41.0,,,,,,,,,,,,,,,,,,,,,,
159.0,f,,,,,,,,,,,,,,,,,,,,,,,,
160.0,,161.0,,,,,,,,,,,,,,,,,,,,,,,
161.0,,3.0,15.0,8.0,24.0,,,,,,,,,,,,,,,,,,,,
162.0,,,,,,0,,,,,,,,,,,,,,,,,,,
163.0,f,,,,,,,,,,,,,,,,,,,,,,,,
