num,ref_page,note_start_page,note_end_page,note_lines_per_page
213.0,513.0,1035.0,1036.0,"9,3"
214.0,515.0,1036.0,1036.0,4.0
215.0,515.0,1036.0,1036.0,6.0
216.0,516.0,1036.0,1036.0,1.0
217.0,519.0,1036.0,1036.0,4.0
218.0,519.0,1036.0,1036.0,8.0
219.0,520.0,1036.0,1036.0,1.0
220.0,520.0,1036.0,1036.0,8.0
221.0,525.0,1036.0,1036.0,2.0
222.0,529.0,1036.0,1036.0,7.0
223.0,529.0,1036.0,1037.0,"4,2"
224.0,540.0,1037.0,1037.0,8.0
225.0,541.0,1037.0,1037.0,2.0
226.0,542.0,1037.0,1037.0,1.0
227.0,542.0,1037.0,1037.0,3.0
228.0,548.0,1037.0,1037.0,2.0
229.0,549.0,1037.0,1037.0,4.0
230.0,553.0,1037.0,1037.0,1.0
231.0,555.0,1037.0,1037.0,3.0
232.0,557.0,1037.0,1038.0,"23,4"
233.0,559.0,1038.0,1038.0,6.0
234.0,565.0,1038.0,1044.0,"40,53,53,53,53,53,5"
235.0,566.0,1044.0,1044.0,3.0
236.0,568.0,1044.0,1044.0,1.0
237.0,571.0,1044.0,1044.0,4.0
238.0,572.0,1044.0,1044.0,10.0
239.0,575.0,1044.0,1044.0,5.0
240.0,578.0,1044.0,1044.0,1.0
241.0,582.0,1044.0,1044.0,4.0
242.0,590.0,1044.0,1044.0,5.0
243.0,590.0,1044.0,1044.0,6.0
244.0,590.0,1044.0,1044.0,1.0
245.0,594.0,1044.0,1045.0,"3,1"
246.0,601.0,1045.0,1045.0,6.0
247.0,601.0,1045.0,1045.0,6.0
248.0,602.0,1045.0,1045.0,8.0
249.0,604.0,1045.0,1045.0,3.0
250.0,604.0,1045.0,1045.0,1.0
251.0,606.0,1045.0,1045.0,2.0
252.0,606.0,1045.0,1045.0,8.0
253.0,608.0,1045.0,1045.0,2.0
254.0,608.0,1045.0,1045.0,1.0
255.0,608.0,1045.0,1045.0,1.0
256.0,615.0,1045.0,1045.0,1.0
257.0,622.0,1045.0,1045.0,1.0
258.0,622.0,1045.0,1045.0,1.0
259.0,630.0,1045.0,1046.0,"4,2"
260.0,631.0,1046.0,1046.0,1.0
261.0,634.0,1046.0,1046.0,5.0
262.0,636.0,1046.0,1046.0,1.0
263.0,642.0,1046.0,1046.0,1.0
264.0,643.0,1046.0,1046.0,1.0
265.0,653.0,1046.0,1046.0,1.0
266.0,655.0,1046.0,1046.0,24.0
267.0,656.0,1046.0,1046.0,1.0
268.0,658.0,1046.0,1046.0,5.0
269.0,665.0,1047.0,1052.0,"54,60,60,58,58,17"
270.0,666.0,1052.0,1052.0,1.0
271.0,666.0,1052.0,1052.0,2.0
272.0,668.0,1052.0,1052.0,6.0
273.0,674.0,1052.0,1052.0,1.0
274.0,676.0,1052.0,1052.0,5.0
275.0,679.0,1052.0,1052.0,1.0
276.0,680.0,1052.0,1052.0,8.0
277.0,680.0,1052.0,1052.0,2.0
278.0,686.0,1052.0,1052.0,3.0
279.0,688.0,1052.0,1052.0,3.0
280.0,692.0,1053.0,1053.0,3.0
281.0,695.0,1053.0,1053.0,5.0
282.0,696.0,1053.0,1053.0,2.0
283.0,697.0,1053.0,1053.0,1.0
284.0,698.0,1053.0,1053.0,3.0
285.0,699.0,1053.0,1053.0,3.0
286.0,699.0,1053.0,1053.0,5.0
287.0,702.0,1053.0,1053.0,3.0
288.0,703.0,1053.0,1053.0,1.0
289.0,704.0,1053.0,1053.0,4.0
290.0,705.0,1053.0,1053.0,5.0
291.0,707.0,1053.0,1053.0,10.0
292.0,707.0,1053.0,1054.0,"1,19"
293.0,708.0,1054.0,1054.0,5.0
294.0,709.0,1054.0,1054.0,2.0
295.0,709.0,1054.0,1054.0,1.0
296.0,711.0,1054.0,1054.0,2.0
297.0,712.0,1054.0,1054.0,5.0
298.0,713.0,1054.0,1054.0,5.0
299.0,715.0,1054.0,1054.0,1.0
300.0,721.0,1054.0,1054.0,3.0
301.0,722.0,1054.0,1055.0,"6,4"
302.0,722.0,1055.0,1055.0,11.0
303.0,725.0,1055.0,1055.0,6.0
304.0,732.0,1055.0,1062.0,"29,53,52,53,53,54,53,23"
305.0,739.0,1062.0,1062.0,1.0
306.0,740.0,1062.0,1062.0,3.0
307.0,741.0,1062.0,1062.0,5.0
308.0,742.0,1062.0,1062.0,1.0
309.0,743.0,1062.0,1062.0,5.0
310.0,743.0,1062.0,1062.0,1.0
311.0,748.0,1062.0,1062.0,1.0
312.0,750.0,1062.0,1062.0,4.0
313.0,751.0,1062.0,1062.0,2.0
314.0,753.0,1062.0,1062.0,1.0
315.0,754.0,1062.0,1062.0,1.0
316.0,759.0,1062.0,1063.0,"4,4"
317.0,760.0,1063.0,1063.0,2.0
318.0,761.0,1063.0,1063.0,1.0
319.0,762.0,1063.0,1063.0,1.0
320.0,770.0,1063.0,1063.0,1.0
321.0,785.0,1063.0,1066.0,"42,53,53,23"
322.0,786.0,1066.0,1066.0,3.0
323.0,787.0,1066.0,1066.0,2.0
324.0,787.0,1066.0,1072.0,"22,53,53,53,53,53,37"
325.0,787.0,1072.0,1072.0,2.0
326.0,788.0,1072.0,1072.0,1.0
327.0,788.0,1072.0,1072.0,2.0
328.0,788.0,1072.0,1072.0,1.0
329.0,788.0,1072.0,1072.0,2.0
330.0,790.0,1072.0,1072.0,1.0
331.0,791.0,1072.0,1072.0,4.0
332.0,795.0,1073.0,1076.0,"51,53,53,9"
333.0,795.0,1076.0,1076.0,3.0
334.0,796.0,1076.0,1076.0,4.0
335.0,803.0,1076.0,1076.0,2.0
336.0,803.0,1076.0,1076.0,1.0
337.0,814.0,1076.0,1076.0,4.0
338.0,814.0,1076.0,1076.0,2.0
339.0,815.0,1076.0,1076.0,1.0
340.0,815.0,1076.0,1076.0,1.0
341.0,818.0,1076.0,1076.0,2.0
342.0,835.0,1076.0,1076.0,1.0
343.0,838.0,1076.0,1076.0,2.0
344.0,851.0,1076.0,1076.0,3.0
345.0,851.0,1076.0,1076.0,2.0
346.0,853.0,1076.0,1076.0,2.0
347.0,855.0,1076.0,1076.0,2.0
348.0,856.0,1076.0,1076.0,1.0
349.0,857.0,1076.0,1076.0,1.0
350.0,863.0,1077.0,1077.0,2.0
351.0,863.0,1077.0,1077.0,2.0
352.0,873.0,1077.0,1077.0,6.0
353.0,874.0,1077.0,1077.0,2.0
354.0,886.0,1077.0,1077.0,1.0
355.0,887.0,1077.0,1077.0,1.0
356.0,887.0,1077.0,1077.0,1.0
357.0,887.0,1077.0,1077.0,1.0
358.0,887.0,1077.0,1077.0,3.0
359.0,887.0,1077.0,1077.0,2.0
360.0,888.0,1077.0,1077.0,2.0
361.0,893.0,1077.0,1077.0,2.0
362.0,903.0,1077.0,1077.0,2.0
363.0,904.0,1077.0,1077.0,4.0
364.0,904.0,1077.0,1077.0,2.0
365.0,906.0,1077.0,1077.0,1.0
366.0,911.0,1077.0,1077.0,8.0
367.0,912.0,1077.0,1078.0,"2,4"
368.0,913.0,1078.0,1078.0,3.0
369.0,914.0,1078.0,1078.0,12.0
370.0,915.0,1078.0,1078.0,1.0
371.0,915.0,1078.0,1078.0,1.0
372.0,917.0,1078.0,1078.0,2.0
373.0,921.0,1078.0,1078.0,2.0
374.0,924.0,1078.0,1078.0,2.0
375.0,928.0,1078.0,1078.0,2.0
376.0,931.0,1078.0,1078.0,2.0
377.0,935.0,1078.0,1078.0,2.0
378.0,944.0,1078.0,1078.0,1.0
379.0,947.0,1078.0,1078.0,1.0
380.0,949.0,1078.0,1078.0,6.0
381.0,951.0,1078.0,1078.0,5.0
382.0,957.0,1079.0,1079.0,5.0
383.0,961.0,1079.0,1079.0,2.0
384.0,969.0,1079.0,1079.0,2.0
385.0,973.0,1079.0,1079.0,2.0
386.0,978.0,1079.0,1079.0,2.0
387.0,979.0,1079.0,1079.0,6.0
388.0,979.0,1079.0,1079.0,1.0
